category,discounted_price,actual_price,discount_percentage,rating,rating_count,venta
1,54,110,12,4.4,19763,1
7,140,85,0,4.5,1674,1
7,113,30,0,4.5,4951,1
2,19,352,78,3.9,47521,1
4,529,33,10,4.3,13251,1
2,52,268,59,4.2,42775,1
1,471,445,23,3.5,15295,1
2,236,322,46,3.9,3518,1
4,430,443,32,3.9,16166,1
4,19,88,21,4.2,4580,1
2,471,42,40,4.3,6183,1
4,9,67,19,4.5,1065,1
2,525,75,35,3.9,10480,1
2,307,63,76,4.5,28978,1
4,483,41,38,4.2,17218,1
4,225,168,3,4.0,1108,1
2,243,366,58,4.0,14404,1
2,126,129,17,4.2,34899,1
2,327,444,61,4.2,6676,1
2,113,445,86,3.9,6491,1
2,113,445,86,3.9,6491,1
2,163,313,56,3.8,538,1
4,119,167,38,4.4,8948,1
1,127,61,0,4.3,10833,1
1,127,61,0,4.3,10833,1
1,75,244,43,4.5,26194,1
4,461,62,50,4.1,925,1
1,133,237,51,4.3,7064,1
1,133,237,51,4.3,7064,1
1,133,265,57,4.2,16905,1
1,133,265,57,4.2,16905,1
1,133,265,57,4.2,16905,1
1,133,233,50,4.3,13391,1
1,133,233,50,4.3,13391,1
1,133,233,50,4.3,13391,1
1,273,349,45,3.8,3066,1
2,19,410,83,3.6,25910,1
4,280,360,42,3.8,14062,1
4,340,445,58,3.6,1988,1
1,483,63,47,4.1,1045,1
1,430,408,17,4.3,15790,1
2,215,349,62,3.6,339,1
4,72,235,45,3.8,7988,1
2,361,37,56,4.2,4541,1
2,531,43,15,4.2,6088,1
1,273,445,67,4.3,2651,1
1,312,445,63,4.3,2651,1
1,342,63,72,4.2,4149,1
1,512,422,33,4.2,4567,1
1,482,399,55,4.0,7199,1
1,393,54,60,3.9,1462,1
2,52,430,81,3.7,28324,1
1,424,191,76,4.2,8537,1
4,333,427,57,4.1,1051,1
2,273,113,82,3.6,18202,1
2,430,172,73,3.9,58162,1
1,404,381,7,3.6,4199,1
1,300,285,77,3.5,21762,1
2,217,313,53,4.0,479,1
1,229,201,15,4.3,30411,1
1,229,201,15,4.3,30411,1
1,229,201,15,4.3,30411,1
2,117,143,32,4.3,11976,1
2,117,143,32,4.3,11976,1
4,521,425,0,4.2,19621,1
2,52,204,45,3.7,87798,1
2,237,327,47,4.2,2951,1
1,19,204,56,4.1,10725,1
2,357,75,67,4.0,4390,1
2,393,127,72,3.7,3369,1
2,455,172,71,3.9,13049,1
1,19,127,34,4.5,22420,1
1,273,408,59,4.0,151,1
2,350,375,37,4.0,37817,1
1,224,445,75,4.2,163,1
4,280,364,43,4.0,4978,1
